latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.41573,-155.27698,326.3,1,1,2025-03-25,1306,A,100,6.1NRT,305.18,26.93,N
19.41435,-155.26776,326.11,1,1,2025-03-25,1306,A,100,6.1NRT,304.11,26.26,N
19.40836,-155.28763,325.75,1,1,2025-03-25,1306,A,100,6.1NRT,296.58,26.02,N
19.40698,-155.27841,320.23,1,1,2025-03-25,1306,A,100,6.1NRT,300.42,20.49,N
19.4056,-155.26918,303.55,1,1,2025-03-25,1306,A,56,6.1NRT,289.08,7.74,N
32.33834,-81.416,325.58,3.28,1.71,2025-03-25,1435,T,84,6.1NRT,291.32,126.17,D
32.34025,-81.42323,327.46,3.28,1.71,2025-03-25,1435,T,85,6.1NRT,291.39,137.94,D
21.64072,-79.42017,317.04,1.72,1.29,2025-03-25,1437,T,47,6.1NRT,298.12,15.15,D
20.70306,-76.16901,323.37,1.08,1.04,2025-03-25,1437,T,75,6.1NRT,302.16,10.14,D
19.72796,-71.63601,315.29,1.23,1.1,2025-03-25,1437,T,66,6.1NRT,300.95,7.96,D
20.3073,-75.55674,316.52,1.03,1.01,2025-03-25,1437,T,63,6.1NRT,298.95,8.75,D
20.30338,-75.52816,316.32,1.03,1.01,2025-03-25,1437,T,34,6.1NRT,301.01,8.02,D
20.15638,-75.60219,362.75,1.03,1.01,2025-03-25,1440,T,100,6.1NRT,302.53,86.33,D
20.15506,-75.59261,363.98,1.03,1.01,2025-03-25,1440,T,100,6.1NRT,304.22,89.84,D
19.30004,-72.00424,313.96,1.2,1.09,2025-03-25,1440,T,36,6.1NRT,301.38,5.47,D
19.2244,-71.58823,318.18,1.26,1.12,2025-03-25,1440,T,60,6.1NRT,298.76,13.22,D
19.96371,-77.63777,319.75,1.24,1.11,2025-03-25,1440,T,56,6.1NRT,302.8,10.37,D
19.05987,-72.14816,311.06,1.18,1.08,2025-03-25,1440,T,39,6.1NRT,299.43,5.38,D
18.68891,-70.82789,322.35,1.44,1.19,2025-03-25,1440,T,75,6.1NRT,299.25,26.56,D
18.7248,-71.35867,318.85,1.33,1.14,2025-03-25,1440,T,71,6.1NRT,295.97,20.4,D
26.52377,-97.98992,328.98,1,1,2025-03-25,1616,T,80,6.1NRT,302.2,17.43,D
26.515,-97.99142,385.8,1,1,2025-03-25,1616,T,100,6.1NRT,304.28,168.54,D
26.51361,-97.98167,347.47,1,1,2025-03-25,1616,T,94,6.1NRT,300.69,47.6,D
26.50899,-98.01244,322.27,1,1,2025-03-25,1616,T,67,6.1NRT,300.88,8.95,D
26.11432,-98.23086,315.63,1,1,2025-03-25,1616,T,47,6.1NRT,294.94,7,D
43.18863,-89.81594,342.17,1.15,1.07,2025-03-25,1609,T,93,6.1NRT,284.58,59.64,D
25.95491,-98.9343,320.67,1.03,1.01,2025-03-25,1616,T,72,6.1NRT,298.46,11.07,D
43.18625,-89.80232,327.99,1.16,1.07,2025-03-25,1609,T,85,6.1NRT,283.95,33.96,D
24.46557,-99.44115,322.92,1.04,1.02,2025-03-25,1616,T,76,6.1NRT,294.98,14.81,D
43.12537,-89.4568,301,1.19,1.09,2025-03-25,1609,T,33,6.1NRT,283.6,7.07,D
24.32097,-98.86102,341.73,1.01,1,2025-03-25,1616,T,91,6.1NRT,304.19,38.5,D
42.98845,-89.88489,300.06,1.16,1.07,2025-03-25,1609,T,25,6.1NRT,282.78,5.81,D
24.31962,-98.85136,315.69,1.01,1,2025-03-25,1616,T,49,6.1NRT,299.54,5.78,D
23.74563,-98.7076,317.11,1,1,2025-03-25,1616,T,59,6.1NRT,300.98,4.94,D
